rank,s=0.5,s=0.6,s=0.7,s=0.8,s=0.9,s=1.0,s=1.1,s=1.2,s=1.3,s=1.4,s=1.5
109,0.0015498554220361384,0.0015902337334260236,0.0015812285365976143,0.0015155623615338118,0.0013936562718805017,0.0012256158760774328,0.0010298057590665654,0.0008279850357077027,0.0006393596897835082,0.00047653968294158187,0.00034471930917022626
110,0.0015427945405671402,0.0015815438930565193,0.001571152397439966,0.0015045300329460324,0.0013822484292771763,0.0012144739135676382,0.0010195123952327744,0.000818960703091972,0.0006318139463942285,0.00047048567991898866,0.00034002929101004955
111,0.001535829292622006,0.0015729795386388342,0.0015612307872078489,0.0014936767689878916,0.0013710359444374111,0.001203532707139101,0.0010094136826221817,0.0008101150693521217,0.0006244243441897097,0.0004645623376214884,0.00033544466526040553
112,0.0015289575387230317,0.0015645377518666704,0.0015514599756265934,0.0014829980890201462,0.0013600137567180367,0.0011927868793967875,0.000999504235985999,0.0008014430333893906,0.0006171862887745909,0.0004587656966800105,0.00033096214579336097
113,0.001522177205807451,0.0015562157075723053,0.0015418363547267657,0.0014724896632143413,0.0013491769802131354,0.0011822312432959309,0.0009897788653823402,0.0007929396835344326,0.0006100953603508733,0.00045309195162101737,0.000326578577053222
114,0.0015154862845999822,0.0015480106699617096,0.0015323564337950577,0.0014621473061972561,0.0013385208962400819,0.0011718607937933351,0.0009802325674426726,0.0007846002889143201,0.0006031473056114429,0.0004475374435896045,0.00032229092777091416
115,0.0015088828271113152,0.0015399199890333169,0.0015230168345757675,0.0014519669710161773,0.001328040946211248,0.0011616706999342625,0.0009708605171013217,0.0007764202912845693,0.0005963380300770993,0.0004420986534768652,0.0003180962850328581
116,0.0015023649442554613,0.0015319410971699875,0.0015138142867083804,0.0014419447434061696,0.0013177327248684303,0.0011516562973486225,0.0009616580597597028,0.0007683952972973496,0.0005896635908492228,0.0004367721954257756,0.0003139918486814692
117,0.0014959308035793514,0.0015240715058943693,0.001504745623387706,0.0014320768363417784,0.0013075919738585915,0.0011418130811319674,0.0009526207038589058,0.0007605210711790591,0.0005831201897521746,0.0004315548106917002,0.000309974926026071
118,0.0014895786270984832,0.0015163088027785071,0.0014958077772339253,0.001422359584856758,0.0012976145756309527,0.001132136699088476,0.0009437441138360764,0.0007527935277923068,0.0005767041668413564,0.0004264433618353176,0.000306042926844533
119,0.0014833066892328151,0.0015086506484991305,0.0014869977763607082,0.0014127894411165038,0.0012877965476367958,0.0011226229453146234,0.0009350241034417028,0.0007452087260590668,0.0005704119942545207,0.00042143482722733035,0.0003021933586573507
120,0.0014771133148374653,0.0015010947740305902,0.0014783127406303336,0.001403362969728842,0.0012781340368145622,0.0011132677541036682,0.000926456629396465,0.0007377628627233483,0.0005642402703854826,0.00041652629584576365,0.00029842382225717416
121,0.0014709968773231096,0.001493638977967928,0.001469749878085442,0.0013940768432797875,0.001268623314343974,0.0011040671941523984,0.0009180377853677291,0.0007304522664331994,0.0005581857143608026,0.00041171496234798904,0.00029473200747798624
122,0.0014649557968612911,0.0014862811239730266,0.0014613064815477074,0.0013849278380817067,0.0012592607706539492,0.0010950174630527886,0.0009097637962470907,0.000723273392123212,0.0005522451608013378,0.00040699812240083854,0.00029111568918922717
123,0.001458988538670148,0.001479019138337217,0.0014529799253743263,0.001375912830122141,0.0012500429106700787,0.0010861148820523593,0.0009016310127116013,0.0007162228156799527,0.0005464155548517716,0.0004023731682533051,0.000287572723501178
124,0.001453093611376329,0.00147185100765415,0.001444767662363787,0.0013670287912022718,0.0012409663492883212,0.0010773558910680662,0.0008936359060524358,0.0007092972288739045,0.0005406939474623693,0.0003978375845373781,0.00028410104416885123
125,0.0014472695654491323,0.0014647747765970866,0.0014366672208029057,0.0013582727852547106,0.0012320278070624246,0.0010687370439395217,0.0008857750632558215,0.0007024934345425831,0.0005350774909082435,0.0003933889442835279,0.0002806986591825018
126,0.0014415149917031322,0.0014577885457951322,0.0014286762016476086,0.0013496419648309187,0.0012232241060933684,0.0010602550039082556,0.0008780451823220145,0.0006958083420104821,0.0005295634345323888,0.000389024905138256,0.0002773636475336727
127,0.0014358285198657816,0.0014508904698032725,0.0014207922758304012,0.0013411335677491732,0.0012145521661098449,0.0010519065393105528,0.0008704430678090256,0.0006892389627324366,0.0005241491206996367,0.000384743205771953,0.0002740941561464297
